player,score
"['agent_Ann', 'Trang9PM_1905', 'agent_Hieu_val', 'agent_Khanh']","[16, 14, 10, 7]"
"['agent_Ann', 'agent_Hieu_val', 'Trangold', 'agent_Khanh']","[21, 12, 9, 4]"
"['agent_Ann', 'agent_Hieu_val', 'agent_Khanh', 'Viet_Anh']","[20, 15, 11, 11]"
"['agent_NA', 'agent_Ann', 'agent_MA', 'agent_Hieu_val']","[17, 12, 10, 8]"
"['agent_Ann', 'agent_MA', 'agent_NhatMinh', 'agent_Hieu_val']","[15, 14, 11, 10]"
"['agent_Ann', 'agent_MA', 'agent_Phong', 'agent_Hieu_val']","[15, 11, 10, 8]"
"['agent_Ann', 'agent_MA', 'agent_Hieu_val', 'agent_random']","[17, 7, 3, 2]"
"['agent_Hieu_val', 'agent_Thu_Trang', 'agent_Ann', 'agent_MA']","[15, 15, 13, 7]"
"['agent_MA', 'agent_Hieu_val', 'agent_Ann', 'agent_TongMinh']","[15, 12, 11, 3]"
"['agent_Ann', 'agent_MA', 'agent_Hieu_val', 'agent_xung']","[15, 8, 2, 2]"
"['agent_Ann', 'agent_Hieu_val', 'Dat', 'agent_MA']","[17, 15, 9, 5]"
"['agent_Hieu_val', 'agent_MA', 'longlee', 'agent_Ann']","[16, 9, 6, 3]"
"['agent_Ann', 'agent_MA', 'agent_Hieu_val', 'phi']","[15, 13, 6, 6]"
"['agent_Ann', 'Trang9PM_1905', 'agent_Hieu_val', 'agent_MA']","[17, 13, 11, 7]"
"['agent_MA', 'agent_Hieu_val', 'Trangold', 'agent_Ann']","[17, 15, 11, 4]"
"['agent_Ann', 'agent_MA', 'Viet_Anh', 'agent_Hieu_val']","[15, 9, 5, 4]"
"['agent_Hieu_val', 'agent_NA', 'agent_NhatMinh', 'agent_Ann']","[16, 12, 7, 4]"
"['agent_Ann', 'agent_NA', 'agent_Phong', 'agent_Hieu_val']","[15, 14, 10, 7]"
"['agent_Ann', 'agent_Hieu_val', 'agent_NA', 'agent_random']","[17, 10, 10, 1]"
"['agent_Hieu_val', 'agent_NA', 'agent_Thu_Trang', 'agent_Ann']","[17, 13, 8, 1]"
"['agent_Hieu_val', 'agent_NA', 'agent_TongMinh', 'agent_Ann']","[15, 15, 14, 7]"
"['agent_Hieu_val', 'agent_Ann', 'agent_xung', 'agent_NA']","[16, 5, 4, 2]"
"['agent_Hieu_val', 'agent_NA', 'Dat', 'agent_Ann']","[17, 9, 9, 6]"
"['agent_Ann', 'agent_NA', 'agent_Hieu_val', 'longlee']","[19, 15, 11, 6]"
"['agent_Hieu_val', 'agent_NA', 'agent_Ann', 'phi']","[17, 10, 9, 4]"
"['agent_Hieu_val', 'agent_NA', 'agent_Ann', 'Trang9PM_1905']","[15, 15, 12, 6]"
"['agent_Ann', 'agent_Hieu_val', 'agent_NA', 'Trangold']","[16, 8, 8, 3]"
"['agent_Ann', 'agent_Hieu_val', 'agent_NA', 'Viet_Anh']","[18, 14, 13, 5]"
"['agent_Ann', 'agent_Hieu_val', 'agent_Phong', 'agent_NhatMinh']","[22, 14, 13, 12]"
"['agent_Ann', 'agent_NhatMinh', 'agent_Hieu_val', 'agent_random']","[18, 10, 7, 2]"
"['agent_Ann', 'agent_Hieu_val', 'agent_Thu_Trang', 'agent_NhatMinh']","[16, 12, 11, 7]"
"['agent_Hieu_val', 'agent_NhatMinh', 'agent_Ann', 'agent_TongMinh']","[16, 16, 9, 9]"
"['agent_Ann', 'agent_xung', 'agent_NhatMinh', 'agent_Hieu_val']","[18, 16, 14, 8]"
"['agent_Ann', 'agent_NhatMinh', 'agent_Hieu_val', 'Dat']","[15, 15, 13, 8]"
"['agent_Hieu_val', 'agent_NhatMinh', 'agent_Ann', 'longlee']","[16, 15, 11, 7]"
